[Arr] Status,[Arr] Routing,[Arr] Airline code,[Arr] Service Type,[Arr] Flight Designator,[Arr] SIBT,[Dep] Status,[Dep] Routing,[Dep] Airline code,[Dep] Service Type,[Dep] Flight Designator,[Dep] SOBT
"Departed from previous airport","TQO-NLU","VB","J","VB 7241","04FEB 12:55","Flight activated","NLU-GDL","VB","J","VB 7241","04FEB 13:40",
"Departed from previous airport","CTM-NLU","VB","J","VB 9463","04FEB 13:05","Flight activated","NLU-REX","VB","J","VB 9386","04FEB 14:05",
"Departed from previous airport","TQO-NLU","AM","J","AM 593","04FEB 13:17","Flight activated","NLU-PVR","AM","J","AM 880","04FEB 14:11",
"Flight activated","CUN-NLU","Y4","J","Y4 3532","04FEB 16:20","Flight activated","NLU-GDL","Y4","J","Y4 1293","04FEB 17:15",
"Flight activated","MID-NLU","AM","J","AM 875","04FEB 16:55","Flight activated","NLU-DGO","AM","J","AM 2600","04FEB 17:35",
"Flight activated","SJD-NLU","Y4","J","Y4 7121","04FEB 17:04","Flight activated","NLU-MID","Y4","J","Y4 7110","04FEB 17:43",
"Flight scheduled","ZIH-NLU","VB","J","VB 9313","04FEB 12:45","Flight activated","NLU-MZT","VB","J","VB 9234","04FEB 13:40",
"Flight scheduled","HUX-NLU","VB","J","VB 9295","04FEB 13:55","Flight activated","NLU-MAM","VB","J","VB 9532","04FEB 14:45",
"Flight scheduled","CUN-NLU","VB","J","VB 7008","04FEB 15:05","Flight activated","NLU-OAX","VB","J","VB 7008","04FEB 15:40",
"Flight scheduled","TGZ-NLU","VB","J","VB 7429","04FEB 15:45","Flight activated","NLU-TIJ","VB","J","VB 7429","04FEB 16:25",
"Flight scheduled","MTY-NLU","AM","J","AM 995","04FEB 17:09","Flight activated","NLU-MTY","AM","J","AM 998","04FEB 17:54",
"Flight scheduled","SLW-NLU","VB","J","VB 9395","04FEB 17:15","Flight activated","NLU-LAP","VB","J","VB 9298","04FEB 17:55",
"Flight scheduled","MTY-NLU","VB","J","VB 7016","04FEB 17:25","Flight activated","NLU-ACA","VB","J","VB 7016","04FEB 17:55",
"Flight scheduled","CUL-NLU","VB","J","VB 7417","04FEB 17:25","Flight activated","NLU-CUN","VB","J","VB 7417","04FEB 18:10",
"Flight scheduled","GDL-NLU","VB","J","VB 7304","04FEB 17:40","Flight activated","NLU-TAM","VB","J","VB 7304","04FEB 18:10",
"Flight scheduled","MZT-NLU","VB","J","VB 9235","04FEB 17:40","Flight activated","NLU-HMO","VB","J","VB 9304","04FEB 18:20",
"Flight scheduled","PVR-NLU","AM","J","AM 881","04FEB 17:55","Flight activated","NLU-OAX","AM","J","AM 2042","04FEB 18:35",
"Flight scheduled","CJS-NLU","VB","J","VB 7434","04FEB 17:55","Flight activated","NLU-VER","VB","J","VB 7434","04FEB 18:35",
"Flight scheduled","MID-NLU","VB","J","VB 7282","04FEB 18:10","Flight activated","NLU-PXM","VB","J","VB 7282","04FEB 18:50",
"Flight scheduled","REX-NLU","VB","J","VB 9387","04FEB 17:30","Flight activated","NLU-BOG","VB","J","VB 770","04FEB 19:00",
"Flight scheduled","OAX-NLU","VB","J","VB 7009","04FEB 18:25","Flight activated","NLU-CUN","VB","J","VB 7009","04FEB 19:00",
"Flight scheduled","CVM-NLU","XN","J","XN 1143","04FEB 14:10","Flight activated","NLU-MTY","XN","J","XN 1106","04FEB 19:20",
"Flight scheduled","TQO-NLU","XN","J","XN 1781","04FEB 13:35","Flight activated","NLU-GDL","XN","J","XN 1436","04FEB 20:00",
"Flight scheduled","PUJ-NLU","DM","J","DM 7100","04FEB 19:39","Flight activated","NLU-PUJ","DM","J","DM 7101","04FEB 20:39",
"Flight scheduled","ACA-NLU","VB","J","VB 7017","04FEB 20:50","Flight activated","NLU-MTY","VB","J","VB 7017","04FEB 21:20",
"Flight scheduled","OAX-NLU","AM","J","AM 2041","04FEB 20:50","Flight activated","NLU-VER","AM","J","AM 872","04FEB 21:30",
"Flight scheduled","TAM-NLU","VB","J","VB 7305","04FEB 21:00","Flight activated","NLU-GDL","VB","J","VB 7305","04FEB 21:30",
"Flight scheduled","GDL-NLU","AM","J","AM 1287","04FEB 20:59","Flight activated","NLU-GDL","AM","J","AM 284","04FEB 21:44",
"Flight scheduled","IZT-NLU","XN","J","XN 1993","04FEB 15:30","Flight activated","NLU-TIJ","XN","J","XN 1204","04FEB 21:55",
"Flight scheduled","VER-NLU","VB","J","VB 7435","04FEB 21:30","Flight activated","NLU-CJS","VB","J","VB 7435","04FEB 22:10",
"Flight scheduled","PXM-NLU","VB","J","VB 7283","04FEB 22:10","Flight activated","NLU-MID","VB","J","VB 7283","04FEB 22:50",
"Flight scheduled","TIJ-NLU","Y4","J","Y4 3296","04FEB 22:37","Flight activated","NLU-TIJ","Y4","J","Y4 3297","04FEB 23:19",
"Flight scheduled","SDQ-NLU","DM","J","DM 4158","04FEB 22:44","Flight activated","NLU-SDQ","DM","J","DM 4159","04FEB 23:44",
"Flight scheduled","MID-NLU","VB","J","VB 9413","04FEB 16:10","Flight activated","NLU-GDL","VB","J","VB 9520","05FEB 06:00",
"Flight scheduled","GDL-NLU","XN","J","XN 1437","04FEB 23:00","Flight activated","NLU-MTY","XN","J","XN 1100","05FEB 06:00",
"Flight scheduled","CUN-NLU","VB","J","VB 2288","04FEB 23:50","Flight activated","NLU-MTY","VB","J","VB 7378","05FEB 06:00",
"Flight scheduled","MTY-NLU","VB","J","VB 7383","04FEB 14:45","Flight activated","NLU-CUN","VB","J","VB 2281","05FEB 06:20",
"Flight scheduled","MID-NLU","Y4","J","Y4 7111","04FEB 21:53","Flight activated","NLU-GDL","Y4","J","Y4 1291","05FEB 06:30",
"Flight scheduled","TIJ-NLU","XN","J","XN 1205","05FEB 05:30","Flight activated","NLU-GDL","XN","J","XN 1430","05FEB 06:30",
"Flight scheduled","LAP-NLU","VB","J","VB 9299","04FEB 22:50","Flight activated","NLU-PXM","VB","J","VB 9222","05FEB 06:40",
"Flight scheduled","TIJ-NLU","VB","J","VB 5070","04FEB 15:35","Flight activated","NLU-TIJ","VB","J","VB 5069","05FEB 08:00",
"Flight scheduled","GDL-NLU","VB","J","VB 7240","05FEB 07:15","Flight activated","NLU-TQO","VB","J","VB 7240","05FEB 08:00",
"Flight scheduled","SLP-NLU","ZV","J","ZV 341","05FEB 07:30","Flight activated","NLU-CVM","ZV","J","ZV 362","05FEB 08:00",
"Flight scheduled","BJX-NLU","VB","J","VB 7344","05FEB 07:30","Flight activated","NLU-CUU","VB","J","VB 7344","05FEB 08:00",
"Flight scheduled","MTY-NLU","VB","J","VB 7332","05FEB 07:35","Flight activated","NLU-VSA","VB","J","VB 7332","05FEB 08:05",
"Flight scheduled","HMO-NLU","VB","J","VB 9305","05FEB 00:20","Flight activated","NLU-NLD","VB","J","VB 9450","05FEB 08:20",
"Flight scheduled","DGO-NLU","AM","J","AM 2469","04FEB 21:17","Flight activated","NLU-CLQ","AM","J","AM 2436","05FEB 08:29",
"Flight scheduled","BOG-NLU","VB","J","VB 771","05FEB 05:15","Flight activated","NLU-TPQ","VB","J","VB 9428","05FEB 08:30",
"Flight scheduled","CUN-NLU","VB","J","VB 2272","05FEB 07:30","Flight activated","NLU-CUN","VB","J","VB 2273","05FEB 08:30",
"Flight scheduled","VER-NLU","AM","J","AM 871","05FEB 07:50","Flight activated","NLU-TQO","AM","J","AM 592","05FEB 08:30",
"Flight scheduled","MID-NLU","VB","J","VB 7350","05FEB 07:55","Flight activated","NLU-PVR","VB","J","VB 7350","05FEB 08:35",
"Flight scheduled","GDL-NLU","Y4","J","Y4 1292","04FEB 20:28","Flight activated","NLU-MID","Y4","J","Y4 7110","05FEB 10:00",
"Flight scheduled","GDL-NLU","VB","J","VB 9521","05FEB 09:15","Flight activated","NLU-ZIH","VB","J","VB 9312","05FEB 10:00",
"Flight scheduled","PUJ-NLU","DM","J","DM 7106","05FEB 09:23","Flight activated","NLU-PUJ","DM","J","DM 7107","05FEB 10:23",
"Flight scheduled","PXM-NLU","VB","J","VB 9223","05FEB 09:50","Flight activated","NLU-HUX","VB","J","VB 9294","05FEB 10:35",
"Flight scheduled","MTY-NLU","XN","J","XN 1107","04FEB 22:55","Flight activated","NLU-PQM","XN","J","XN 1922","05FEB 10:40",
"Flight scheduled","GDL-NLU","XN","J","XN 1431","05FEB 09:30","Flight activated","NLU-SJD","XN","J","XN 1232","05FEB 10:40",
"Flight scheduled","GDL-NLU","Y4","J","Y4 1290","05FEB 09:43","Flight scheduled","NLU-CUN","Y4","J","Y4 3533","05FEB 10:44",
"Flight scheduled","MTY-NLU","XN","J","XN 1101","05FEB 09:40","Flight scheduled","NLU-ZIH","XN","J","XN 1952","05FEB 11:00",
"Flight scheduled","MTY-NLU","VB","J","VB 9401","05FEB 10:20","Flight scheduled","NLU-MTY","VB","J","VB 9402","05FEB 11:05",
"Flight scheduled","TIJ-NLU","VB","J","VB 7428","05FEB 11:15","Flight scheduled","NLU-TGZ","VB","J","VB 7428","05FEB 11:55",
"Flight scheduled","VSA-NLU","VB","J","VB 7333","05FEB 11:45","Flight scheduled","NLU-MTY","VB","J","VB 7333","05FEB 12:20",
"Flight scheduled","CLQ-NLU","AM","J","AM 2437","05FEB 11:43","Flight scheduled","NLU-MID","AM","J","AM 878","05FEB 12:23",
"Flight scheduled","CVM-NLU","ZV","J","ZV 363","05FEB 12:05","Flight scheduled","NLU-CVM","ZV","J","ZV 360","05FEB 12:35",
"Flight scheduled","NLD-NLU","VB","J","VB 9451","05FEB 12:05","Flight scheduled","NLU-LAP","VB","J","VB 9298","05FEB 12:35",
"Flight scheduled","CUN-NLU","VB","J","VB 7416","05FEB 12:00","Flight scheduled","NLU-CUL","VB","J","VB 7416","05FEB 12:50",
"Flight scheduled","TPQ-NLU","VB","J","VB 9429","05FEB 12:10","Flight scheduled","NLU-CUN","VB","J","VB 2283","05FEB 13:00",
"Flight scheduled","PVR-NLU","VB","J","VB 7351","05FEB 12:20","Flight scheduled","NLU-MID","VB","J","VB 7351","05FEB 13:00",
"Flight scheduled","CUN-NLU","AM","J","AM 591","05FEB 11:56","Flight scheduled","NLU-CUN","AM","J","AM 596","05FEB 13:34",
"Flight scheduled","CUU-NLU","VB","J","VB 7345","05FEB 13:05","Flight scheduled","NLU-BJX","VB","J","VB 7345","05FEB 13:35",
"Flight scheduled","ZIH-NLU","VB","J","VB 9313","05FEB 12:45","Flight scheduled","NLU-SLW","VB","J","VB 9394","05FEB 13:40",
"Flight scheduled","TQO-NLU","VB","J","VB 7241","05FEB 12:55","Flight scheduled","NLU-GDL","VB","J","VB 7241","05FEB 13:40",
"Flight scheduled","MAM-NLU","VB","J","VB 9533","04FEB 18:20","Flight scheduled","NLU-REX","VB","J","VB 9386","05FEB 14:05",
"Flight scheduled","TQO-NLU","AM","J","AM 593","05FEB 13:32","Flight scheduled","NLU-PVR","AM","J","AM 880","05FEB 14:12",
"Flight scheduled","HUX-NLU","VB","J","VB 9295","05FEB 13:55","Flight scheduled","NLU-MAM","VB","J","VB 9532","05FEB 14:45",
"Flight scheduled","MID-NLU","Y4","J","Y4 7113","05FEB 14:41","Flight scheduled","NLU-LAP","Y4","J","Y4 7170","05FEB 15:22",
"Flight scheduled","CUN-NLU","VB","J","VB 7008","05FEB 15:05","Flight scheduled","NLU-OAX","VB","J","VB 7008","05FEB 15:40",
"Flight scheduled","SJD-NLU","XN","J","XN 1233","05FEB 15:25","Flight scheduled","NLU-MID","XN","J","XN 1764","05FEB 15:40",
"Flight scheduled","MTY-NLU","VB","J","VB 7379","05FEB 14:50","Flight scheduled","NLU-MTY","VB","J","VB 9404","05FEB 15:50",
"Flight scheduled","CCS-NLU","V0","J","V0 3726","05FEB 13:00","Flight scheduled","NLU-CCS","V0","J","V0 3727","05FEB 16:00",
"Flight scheduled","TGZ-NLU","VB","J","VB 7429","05FEB 15:45","Flight scheduled","NLU-TIJ","VB","J","VB 7429","05FEB 16:25",
"Flight scheduled","TIJ-NLU","VB","J","VB 5070","05FEB 15:35","Flight scheduled","NLU-CUN","VB","J","VB 2279","05FEB 16:30",
"Flight scheduled","CVM-NLU","ZV","J","ZV 361","05FEB 16:40","Flight scheduled","NLU-SLP","ZV","J","ZV 340","05FEB 17:10",
"Flight scheduled","CUN-NLU","Y4","J","Y4 3532","05FEB 16:20","Flight scheduled","NLU-GDL","Y4","J","Y4 1293","05FEB 17:15",
"Flight scheduled","MID-NLU","AM","J","AM 875","05FEB 16:50","Flight scheduled","NLU-DGO","AM","J","AM 2600","05FEB 17:30",
"Flight scheduled","MTY-NLU","VB","J","VB 7016","05FEB 17:25","Flight scheduled","NLU-ACA","VB","J","VB 7016","05FEB 17:55",
"Flight scheduled","CUL-NLU","VB","J","VB 7417","05FEB 17:25","Flight scheduled","NLU-CUN","VB","J","VB 7417","05FEB 18:10",
"Flight scheduled","GDL-NLU","VB","J","VB 7304","05FEB 17:40","Flight scheduled","NLU-TAM","VB","J","VB 7304","05FEB 18:10",
"Flight scheduled","LAP-NLU","VB","J","VB 9303","05FEB 17:30","Flight scheduled","NLU-HMO","VB","J","VB 9304","05FEB 18:20",
"Flight scheduled","SLW-NLU","VB","J","VB 9395","05FEB 17:25","Flight scheduled","NLU-SJD","VB","J","VB 9496","05FEB 18:25",
"Flight scheduled","CJS-NLU","VB","J","VB 7434","05FEB 17:55","Flight scheduled","NLU-VER","VB","J","VB 7434","05FEB 18:35",
"Flight scheduled","PVR-NLU","AM","J","AM 881","05FEB 17:58","Flight scheduled","NLU-OAX","AM","J","AM 2042","05FEB 18:38",
"Flight scheduled","MID-NLU","VB","J","VB 7282","05FEB 18:10","Flight scheduled","NLU-PXM","VB","J","VB 7282","05FEB 18:50",
"Flight scheduled","REX-NLU","VB","J","VB 9387","05FEB 17:30","Flight scheduled","NLU-BOG","VB","J","VB 770","05FEB 19:00",
"Flight scheduled","OAX-NLU","VB","J","VB 7009","05FEB 18:25","Flight scheduled","NLU-CUN","VB","J","VB 7009","05FEB 19:00",
"Flight scheduled","CTM-NLU","XN","J","XN 1733","05FEB 15:25","Flight scheduled","NLU-MTY","XN","J","XN 1106","05FEB 19:20",
"Flight scheduled","PQM-NLU","XN","J","XN 1923","05FEB 14:45","Flight scheduled","NLU-GDL","XN","J","XN 1436","05FEB 20:00",
"Flight scheduled","MTY-NLU","AM","J","AM 995","05FEB 20:02","Flight scheduled","NLU-GDL","AM","J","AM 284","05FEB 20:40",
"Flight scheduled","ACA-NLU","VB","J","VB 7017","05FEB 20:50","Flight scheduled","NLU-MTY","VB","J","VB 7017","05FEB 21:20",
"Flight scheduled","OAX-NLU","AM","J","AM 2041","05FEB 20:49","Flight scheduled","NLU-VER","AM","J","AM 872","05FEB 21:30",
"Flight scheduled","TAM-NLU","VB","J","VB 7305","05FEB 21:00","Flight scheduled","NLU-GDL","VB","J","VB 7305","05FEB 21:30",
"Flight scheduled","DGO-NLU","AM","J","AM 2469","05FEB 21:10","Flight scheduled","NLU-MTY","AM","J","AM 998","05FEB 21:50",
"Flight scheduled","MID-NLU","XN","J","XN 1765","05FEB 20:00","Flight scheduled","NLU-TIJ","XN","J","XN 1204","05FEB 21:55",
"Flight scheduled","VER-NLU","VB","J","VB 7435","05FEB 21:30","Flight scheduled","NLU-CJS","VB","J","VB 7435","05FEB 22:10",
"Flight scheduled","PXM-NLU","VB","J","VB 7283","05FEB 22:10","Flight scheduled","NLU-MID","VB","J","VB 7283","05FEB 22:50",
"Flight scheduled","TIJ-NLU","Y4","J","Y4 3296","05FEB 22:37","Flight scheduled","NLU-TIJ","Y4","J","Y4 3297","05FEB 23:19",
"Flight scheduled","SDQ-NLU","DM","J","DM 4100","05FEB 22:44","Flight scheduled","NLU-SDQ","DM","J","DM 4101","05FEB 23:44",
"Flight scheduled","LAP-NLU","Y4","J","Y4 7171","05FEB 20:23","Flight scheduled","NLU-BOG","Y4","J","Y4 3960","06FEB 00:36",
"Flight scheduled","CUN-NLU","VB","J","VB 2284","05FEB 18:25","Flight scheduled","NLU-GDL","VB","J","VB 9520","06FEB 06:00",
"Flight scheduled","SJD-NLU","VB","J","VB 9497","05FEB 23:20","Flight scheduled","NLU-MTY","VB","J","VB 7382","06FEB 06:00",
"Flight scheduled","TIJ-NLU","XN","J","XN 1205","06FEB 05:30","Flight scheduled","NLU-MTY","XN","J","XN 1100","06FEB 06:00",
"Flight scheduled","GDL-NLU","Y4","J","Y4 1292","05FEB 20:28","Flight scheduled","NLU-GDL","Y4","J","Y4 1291","06FEB 06:30",
"Flight scheduled","MTY-NLU","XN","J","XN 1107","05FEB 22:55","Flight scheduled","NLU-GDL","XN","J","XN 1430","06FEB 06:30",
"Flight scheduled","BOG-NLU","VB","J","VB 771","06FEB 05:15","Flight scheduled","NLU-PXM","VB","J","VB 9222","06FEB 06:40",
"Flight scheduled","GDL-NLU","XN","J","XN 1437","05FEB 23:00","Flight scheduled","NLU-MID","XN","J","XN 1760","06FEB 06:50",
"Flight scheduled","CUN-NLU","VB","J","VB 2288","05FEB 23:50","Flight scheduled","NLU-CEN","VB","J","VB 9480","06FEB 06:50",
"Flight scheduled","CUN-NLU","VB","J","VB 2278","05FEB 21:50","Flight scheduled","NLU-TIJ","VB","J","VB 5069","06FEB 08:00",
"Flight scheduled","GDL-NLU","VB","J","VB 7240","06FEB 07:15","Flight scheduled","NLU-TQO","VB","J","VB 7240","06FEB 08:00",
"Flight scheduled","SLP-NLU","ZV","J","ZV 341","06FEB 07:30","Flight scheduled","NLU-CVM","ZV","J","ZV 362","06FEB 08:00",
"Flight scheduled","BJX-NLU","VB","J","VB 7344","06FEB 07:30","Flight scheduled","NLU-CUU","VB","J","VB 7344","06FEB 08:00",
"Flight scheduled","MTY-NLU","VB","J","VB 7332","06FEB 07:35","Flight scheduled","NLU-VSA","VB","J","VB 7332","06FEB 08:05",
"Flight scheduled","MAM-NLU","VB","J","VB 9533","05FEB 18:20","Flight scheduled","NLU-NLD","VB","J","VB 9450","06FEB 08:20",
"Flight scheduled","HMO-NLU","VB","J","VB 9305","06FEB 00:20","Flight scheduled","NLU-CTM","VB","J","VB 9462","06FEB 08:25",
"Flight scheduled","GDL-NLU","AM","J","AM 287","06FEB 07:51","Flight scheduled","NLU-CLQ","AM","J","AM 2436","06FEB 08:29",
"Flight scheduled","CUN-NLU","VB","J","VB 2272","06FEB 07:30","Flight scheduled","NLU-CUN","VB","J","VB 2273","06FEB 08:30",
"Flight scheduled","VER-NLU","AM","J","AM 871","06FEB 07:50","Flight scheduled","NLU-TQO","AM","J","AM 592","06FEB 08:30",
"Flight scheduled","MID-NLU","VB","J","VB 7350","06FEB 07:55","Flight scheduled","NLU-PVR","VB","J","VB 7350","06FEB 08:35",
"Flight scheduled","ZIH-NLU","XN","J","XN 1953","05FEB 14:05","Flight scheduled","NLU-TQO","XN","J","XN 1780","06FEB 08:50",
"Flight scheduled","GDL-NLU","VB","J","VB 9521","06FEB 09:15","Flight scheduled","NLU-ZIH","VB","J","VB 9312","06FEB 10:00",
"Flight scheduled","MTY-NLU","XN","J","XN 1101","06FEB 09:40","Flight scheduled","NLU-CPE","XN","J","XN 1700","06FEB 10:30",
"Flight scheduled","PXM-NLU","VB","J","VB 9223","06FEB 09:50","Flight scheduled","NLU-HUX","VB","J","VB 9294","06FEB 10:35",
"Flight scheduled","GDL-NLU","XN","J","XN 1431","06FEB 09:30","Flight scheduled","NLU-SJD","XN","J","XN 1232","06FEB 10:40",
"Flight scheduled","GDL-NLU","Y4","J","Y4 1290","06FEB 09:43","Flight scheduled","NLU-CUN","Y4","J","Y4 3533","06FEB 10:44",
"Flight scheduled","TQO-NLU","XN","J","XN 1781","05FEB 13:35","Flight scheduled","NLU-ZIH","XN","J","XN 1952","06FEB 11:00",
"Flight scheduled","MTY-NLU","VB","J","VB 9401","06FEB 10:20","Flight scheduled","NLU-MTY","VB","J","VB 9402","06FEB 11:05",
"Flight scheduled","TIJ-NLU","VB","J","VB 7428","06FEB 11:15","Flight scheduled","NLU-TGZ","VB","J","VB 7428","06FEB 11:55",
"Flight scheduled","MID-NLU","XN","J","XN 1761","06FEB 11:10","Flight scheduled","NLU-IZT","XN","J","XN 1992","06FEB 12:10",
"Flight scheduled","BOG-NLU","Y4","J","Y4 3961","06FEB 10:49","Flight scheduled","NLU-SJD","Y4","J","Y4 7120","06FEB 12:14",
"Flight scheduled","VSA-NLU","VB","J","VB 7333","06FEB 11:45","Flight scheduled","NLU-MTY","VB","J","VB 7333","06FEB 12:20",
"Flight scheduled","CLQ-NLU","AM","J","AM 2437","06FEB 11:43","Flight scheduled","NLU-MID","AM","J","AM 878","06FEB 12:23",
"Flight scheduled","CVM-NLU","ZV","J","ZV 363","06FEB 12:05","Flight scheduled","NLU-CVM","ZV","J","ZV 360","06FEB 12:35",
"Flight scheduled","CUN-NLU","VB","J","VB 7416","06FEB 12:00","Flight scheduled","NLU-CUL","VB","J","VB 7416","06FEB 12:50",
"Flight scheduled","PVR-NLU","VB","J","VB 7351","06FEB 12:20","Flight scheduled","NLU-MID","VB","J","VB 7351","06FEB 13:00",
"Flight scheduled","CEN-NLU","VB","J","VB 9481","06FEB 12:10","Flight scheduled","NLU-CUN","VB","J","VB 2283","06FEB 13:10",
"Flight scheduled","CUN-NLU","AM","J","AM 591","06FEB 11:56","Flight scheduled","NLU-CUN","AM","J","AM 596","06FEB 13:34",
"Flight scheduled","NLD-NLU","VB","J","VB 9451","06FEB 12:05","Flight scheduled","NLU-SLW","VB","J","VB 9394","06FEB 13:35",
"Flight scheduled","CUU-NLU","VB","J","VB 7345","06FEB 13:05","Flight scheduled","NLU-BJX","VB","J","VB 7345","06FEB 13:35",
"Flight scheduled","ZIH-NLU","VB","J","VB 9313","06FEB 12:45","Flight scheduled","NLU-MZT","VB","J","VB 9234","06FEB 13:40",
"Flight scheduled","TQO-NLU","VB","J","VB 7241","06FEB 12:55","Flight scheduled","NLU-GDL","VB","J","VB 7241","06FEB 13:40",
"Flight scheduled","CTM-NLU","VB","J","VB 9463","06FEB 13:05","Flight scheduled","NLU-REX","VB","J","VB 9386","06FEB 14:05",
"Flight scheduled","TQO-NLU","AM","J","AM 593","06FEB 13:32","Flight scheduled","NLU-PVR","AM","J","AM 880","06FEB 14:12",
"Flight scheduled","TQO-NLU","XN","J","XN 1781","06FEB 13:35","Flight scheduled","NLU-PVR","XN","J","XN 1442","06FEB 14:35",
"Flight scheduled","HUX-NLU","VB","J","VB 9295","06FEB 13:55","Flight scheduled","NLU-MAM","VB","J","VB 9532","06FEB 14:45",
"Flight scheduled","ZIH-NLU","XN","J","XN 1953","06FEB 14:05","Flight scheduled","NLU-MZT","XN","J","XN 1264","06FEB 14:55",
"Flight scheduled","CPE-NLU","XN","J","XN 1701","06FEB 14:40","Flight scheduled","NLU-CVM","XN","J","XN 1144","06FEB 15:40",
"Flight scheduled","CUN-NLU","VB","J","VB 7008","06FEB 15:05","Flight scheduled","NLU-OAX","VB","J","VB 7008","06FEB 15:40",
"Flight scheduled","MTY-NLU","VB","J","VB 7383","06FEB 14:45","Flight scheduled","NLU-MTY","VB","J","VB 7820","06FEB 15:50",
"Flight scheduled","TGZ-NLU","VB","J","VB 7429","06FEB 15:45","Flight scheduled","NLU-TIJ","VB","J","VB 7429","06FEB 16:25",
"Flight scheduled","TIJ-NLU","VB","J","VB 5070","06FEB 15:35","Flight scheduled","NLU-ACA","VB","J","VB 9296","06FEB 16:30",
"Flight scheduled","CVM-NLU","ZV","J","ZV 361","06FEB 16:40","Flight scheduled","NLU-SLP","ZV","J","ZV 340","06FEB 17:10",
"Flight scheduled","CUN-NLU","Y4","J","Y4 3532","06FEB 16:20","Flight scheduled","NLU-GDL","Y4","J","Y4 1293","06FEB 17:15",
"Flight scheduled","MID-NLU","AM","J","AM 875","06FEB 16:50","Flight scheduled","NLU-DGO","AM","J","AM 2600","06FEB 17:30",
"Flight scheduled","SJD-NLU","Y4","J","Y4 7121","06FEB 17:04","Flight scheduled","NLU-MID","Y4","J","Y4 7110","06FEB 17:43",
"Flight scheduled","MTY-NLU","VB","J","VB 4410","06FEB 17:25","Flight scheduled","NLU-MTY","VB","J","VB 4411","06FEB 18:00",
"Flight scheduled","CUL-NLU","VB","J","VB 7417","06FEB 17:25","Flight scheduled","NLU-CUN","VB","J","VB 7417","06FEB 18:10",
"Flight scheduled","SLW-NLU","VB","J","VB 9395","06FEB 17:15","Flight scheduled","NLU-HMO","VB","J","VB 9304","06FEB 18:20",
"Flight scheduled","MZT-NLU","VB","J","VB 9235","06FEB 17:40","Flight scheduled","NLU-SJD","VB","J","VB 9496","06FEB 18:25",
"Flight scheduled","CJS-NLU","VB","J","VB 7434","06FEB 17:55","Flight scheduled","NLU-VER","VB","J","VB 7434","06FEB 18:35",
"Flight scheduled","MTY-NLU","VB","J","VB 4412","06FEB 18:05","Flight scheduled","NLU-MTY","VB","J","VB 4413","06FEB 18:35",
