[Arr] Status,[Arr] Routing,[Arr] Airline code,[Arr] Service Type,[Arr] Flight Designator,[Arr] SIBT,[Dep] Status,[Dep] Routing,[Dep] Airline code,[Dep] Service Type,[Dep] Flight Designator,[Dep] SOBT
"Flight scheduled","PVR-NLU","AM","J","AM 881","06FEB 17:58","Flight scheduled","NLU-OAX","AM","J","AM 2042","06FEB 18:38",
"Flight scheduled","SJD-NLU","XN","J","XN 1233","06FEB 15:25","Flight scheduled","NLU-MID","XN","J","XN 1766","06FEB 18:45",
"Flight scheduled","MID-NLU","VB","J","VB 7282","06FEB 18:10","Flight scheduled","NLU-PXM","VB","J","VB 7282","06FEB 18:50",
"Flight scheduled","REX-NLU","VB","J","VB 9387","06FEB 17:30","Flight scheduled","NLU-BOG","VB","J","VB 770","06FEB 19:00",
"Flight scheduled","MAM-NLU","VB","J","VB 9533","06FEB 18:20","Flight scheduled","NLU-GDL","VB","J","VB 9522","06FEB 19:00",
"Flight scheduled","OAX-NLU","VB","J","VB 7009","06FEB 18:25","Flight scheduled","NLU-CUN","VB","J","VB 7009","06FEB 19:00",
"Flight scheduled","CUN-NLU","VB","J","VB 2284","06FEB 18:35","Flight scheduled","NLU-MID","VB","J","VB 9410","06FEB 19:15",
"Flight scheduled","CVM-NLU","XN","J","XN 1145","06FEB 18:50","Flight scheduled","NLU-MTY","XN","J","XN 1106","06FEB 19:20",
"Flight scheduled","MZT-NLU","XN","J","XN 1265","06FEB 18:45","Flight scheduled","NLU-GDL","XN","J","XN 1436","06FEB 20:00",
"Flight scheduled","MTY-NLU","AM","J","AM 995","06FEB 20:02","Flight scheduled","NLU-GDL","AM","J","AM 284","06FEB 20:40",
"Flight scheduled","OAX-NLU","AM","J","AM 2041","06FEB 20:49","Flight scheduled","NLU-VER","AM","J","AM 872","06FEB 21:30",
"Flight scheduled","TAM-NLU","VB","J","VB 7305","06FEB 21:00","Flight scheduled","NLU-GDL","VB","J","VB 7305","06FEB 21:30",
"Flight scheduled","DGO-NLU","AM","J","AM 2469","06FEB 21:10","Flight scheduled","NLU-MTY","AM","J","AM 998","06FEB 21:50",
"Flight scheduled","VER-NLU","VB","J","VB 7435","06FEB 21:30","Flight scheduled","NLU-CJS","VB","J","VB 7435","06FEB 22:10",
"Flight scheduled","PXM-NLU","VB","J","VB 7283","06FEB 22:10","Flight scheduled","NLU-MID","VB","J","VB 7283","06FEB 22:50",
"Flight scheduled","TIJ-NLU","Y4","J","Y4 3296","06FEB 22:37","Flight scheduled","NLU-TIJ","Y4","J","Y4 3297","06FEB 23:19",
"Flight scheduled","SDQ-NLU","DM","J","DM 4158","06FEB 22:44","Flight scheduled","NLU-SDQ","DM","J","DM 4159","06FEB 23:44",
"Flight scheduled","SJD-NLU","VB","J","VB 9497","06FEB 23:20","Flight scheduled","NLU-HAV","VB","J","VB 842","07FEB 06:00",
"Flight scheduled","HMO-NLU","VB","J","VB 9305","07FEB 00:20","Flight scheduled","NLU-GDL","VB","J","VB 9520","07FEB 06:00",
"Flight scheduled","MTY-NLU","VB","J","VB 9405","07FEB 00:25","Flight scheduled","NLU-MTY","VB","J","VB 9400","07FEB 06:00",
"Flight scheduled","MID-NLU","Y4","J","Y4 7111","06FEB 21:53","Flight scheduled","NLU-MID","Y4","J","Y4 7110","07FEB 06:09",
"Flight scheduled","CUN-NLU","VB","J","VB 2288","06FEB 23:50","Flight scheduled","NLU-CUN","VB","J","VB 2281","07FEB 06:20",
"Flight scheduled","GDL-NLU","Y4","J","Y4 1292","06FEB 20:28","Flight scheduled","NLU-GDL","Y4","J","Y4 1291","07FEB 06:30",
"Flight scheduled","BOG-NLU","VB","J","VB 771","07FEB 05:15","Flight scheduled","NLU-PXM","VB","J","VB 9222","07FEB 06:40",
"Flight scheduled","ACA-NLU","VB","J","VB 9297","06FEB 19:25","Flight scheduled","NLU-TIJ","VB","J","VB 5069","07FEB 08:00",
"Flight scheduled","GDL-NLU","VB","J","VB 7240","07FEB 07:15","Flight scheduled","NLU-TQO","VB","J","VB 7240","07FEB 08:00",
"Flight scheduled","SLP-NLU","ZV","J","ZV 341","07FEB 07:30","Flight scheduled","NLU-CVM","ZV","J","ZV 362","07FEB 08:00",
"Flight scheduled","BJX-NLU","VB","J","VB 7344","07FEB 07:30","Flight scheduled","NLU-CUU","VB","J","VB 7344","07FEB 08:00",
"Flight scheduled","MTY-NLU","VB","J","VB 7332","07FEB 07:35","Flight scheduled","NLU-VSA","VB","J","VB 7332","07FEB 08:05",
"Flight scheduled","GDL-NLU","VB","J","VB 9523","06FEB 22:10","Flight scheduled","NLU-NLD","VB","J","VB 9450","07FEB 08:20",
"Flight scheduled","GDL-NLU","AM","J","AM 287","07FEB 07:51","Flight scheduled","NLU-CLQ","AM","J","AM 2436","07FEB 08:29",
"Flight scheduled","CUN-NLU","VB","J","VB 2272","07FEB 07:30","Flight scheduled","NLU-CUN","VB","J","VB 2273","07FEB 08:30",
"Flight scheduled","VER-NLU","AM","J","AM 871","07FEB 07:50","Flight scheduled","NLU-TQO","AM","J","AM 592","07FEB 08:30",
"Flight scheduled","MID-NLU","VB","J","VB 7350","07FEB 07:55","Flight scheduled","NLU-PVR","VB","J","VB 7350","07FEB 08:35",
"Flight scheduled","IZT-NLU","XN","J","XN 1993","06FEB 15:30","Flight scheduled","NLU-TQO","XN","J","XN 1780","07FEB 08:50",
"Flight scheduled","GDL-NLU","XN","J","XN 1437","06FEB 23:00","Flight scheduled","NLU-GDL","XN","J","XN 1432","07FEB 09:00",
"Flight scheduled","TIJ-NLU","XN","J","XN 1205","07FEB 05:30","Flight scheduled","NLU-MTY","XN","J","XN 1102","07FEB 09:40",
"Flight scheduled","GDL-NLU","VB","J","VB 9521","07FEB 09:15","Flight scheduled","NLU-ZIH","VB","J","VB 9312","07FEB 10:00",
"Flight scheduled","PUJ-NLU","DM","J","DM 7104","07FEB 09:06","Flight scheduled","NLU-PUJ","DM","J","DM 7105","07FEB 10:06",
"Flight scheduled","PXM-NLU","VB","J","VB 9223","07FEB 09:50","Flight scheduled","NLU-HUX","VB","J","VB 9294","07FEB 10:35",
"Flight scheduled","GDL-NLU","Y4","J","Y4 1290","07FEB 09:43","Flight scheduled","NLU-CUN","Y4","J","Y4 3533","07FEB 10:44",
"Flight scheduled","TIJ-NLU","VB","J","VB 7428","07FEB 11:15","Flight scheduled","NLU-TGZ","VB","J","VB 7428","07FEB 11:55",
"Flight scheduled","VSA-NLU","VB","J","VB 7333","07FEB 11:45","Flight scheduled","NLU-MTY","VB","J","VB 7333","07FEB 12:20",
"Flight scheduled","CLQ-NLU","AM","J","AM 2437","07FEB 11:43","Flight scheduled","NLU-MID","AM","J","AM 878","07FEB 12:23",
"Flight scheduled","MID-NLU","VB","J","VB 9411","06FEB 23:40","Flight scheduled","NLU-LAP","VB","J","VB 9298","07FEB 12:35",
"Flight scheduled","CVM-NLU","ZV","J","ZV 363","07FEB 12:05","Flight scheduled","NLU-CVM","ZV","J","ZV 360","07FEB 12:35",
"Flight scheduled","CUN-NLU","VB","J","VB 7416","07FEB 12:00","Flight scheduled","NLU-CUL","VB","J","VB 7416","07FEB 12:50",
"Flight scheduled","PVR-NLU","VB","J","VB 7351","07FEB 12:20","Flight scheduled","NLU-MID","VB","J","VB 7351","07FEB 13:00",
"Flight scheduled","CUN-NLU","AM","J","AM 591","07FEB 11:56","Flight scheduled","NLU-CUN","AM","J","AM 596","07FEB 13:34",
"Flight scheduled","CUU-NLU","VB","J","VB 7345","07FEB 13:05","Flight scheduled","NLU-BJX","VB","J","VB 7345","07FEB 13:35",
"Flight scheduled","TPQ-NLU","VB","J","VB 9429","07FEB 12:15","Flight scheduled","NLU-SLW","VB","J","VB 9394","07FEB 13:40",
"Flight scheduled","TQO-NLU","VB","J","VB 7241","07FEB 12:55","Flight scheduled","NLU-GDL","VB","J","VB 7241","07FEB 13:40",
"Flight scheduled","TQO-NLU","AM","J","AM 593","07FEB 13:32","Flight scheduled","NLU-PVR","AM","J","AM 880","07FEB 14:12",
"Flight scheduled","MID-NLU","Y4","J","Y4 7113","07FEB 14:41","Flight scheduled","NLU-LAP","Y4","J","Y4 7170","07FEB 15:22",
"Flight scheduled","TQO-NLU","XN","J","XN 1781","07FEB 13:35","Flight scheduled","NLU-MID","XN","J","XN 1764","07FEB 15:40",
"Flight scheduled","CUN-NLU","VB","J","VB 7008","07FEB 15:05","Flight scheduled","NLU-OAX","VB","J","VB 7008","07FEB 15:40",
"Flight scheduled","TGZ-NLU","VB","J","VB 7429","07FEB 15:45","Flight scheduled","NLU-TIJ","VB","J","VB 7429","07FEB 16:25",
"Flight scheduled","CVM-NLU","ZV","J","ZV 361","07FEB 16:40","Flight scheduled","NLU-SLP","ZV","J","ZV 340","07FEB 17:10",
"Flight scheduled","CUN-NLU","Y4","J","Y4 3532","07FEB 16:20","Flight scheduled","NLU-GDL","Y4","J","Y4 1293","07FEB 17:15",
"Flight scheduled","MID-NLU","AM","J","AM 875","07FEB 16:50","Flight scheduled","NLU-DGO","AM","J","AM 2600","07FEB 17:30",
"Flight scheduled","MTY-NLU","VB","J","VB 7016","07FEB 17:25","Flight scheduled","NLU-ACA","VB","J","VB 7016","07FEB 17:55",
"Flight scheduled","CUL-NLU","VB","J","VB 7417","07FEB 17:25","Flight scheduled","NLU-CUN","VB","J","VB 7417","07FEB 18:10",
"Flight scheduled","SLW-NLU","VB","J","VB 9395","07FEB 17:25","Flight scheduled","NLU-SJD","VB","J","VB 9496","07FEB 18:25",
"Flight scheduled","PVR-NLU","AM","J","AM 881","07FEB 17:58","Flight scheduled","NLU-OAX","AM","J","AM 2042","07FEB 18:38",
"Flight scheduled","MID-NLU","VB","J","VB 6016","07FEB 18:10","Flight scheduled","NLU-MID","VB","J","VB 6017","07FEB 18:55",
"Flight scheduled","LAP-NLU","VB","J","VB 9299","07FEB 17:30","Flight scheduled","NLU-BOG","VB","J","VB 770","07FEB 19:00",
"Flight scheduled","OAX-NLU","VB","J","VB 7009","07FEB 18:25","Flight scheduled","NLU-CUN","VB","J","VB 7009","07FEB 19:00",
"Flight scheduled","MTY-NLU","AM","J","AM 995","07FEB 20:02","Flight scheduled","NLU-GDL","AM","J","AM 284","07FEB 20:40",
"Flight scheduled","OAX-NLU","AM","J","AM 2041","07FEB 20:10","Flight scheduled","NLU-VER","AM","J","AM 872","07FEB 20:50",
"Flight scheduled","ACA-NLU","VB","J","VB 7017","07FEB 20:50","Flight scheduled","NLU-MTY","VB","J","VB 7017","07FEB 21:20",
"Flight scheduled","DGO-NLU","AM","J","AM 2469","07FEB 21:10","Flight scheduled","NLU-MTY","AM","J","AM 998","07FEB 21:50",
"Flight scheduled","MID-NLU","XN","J","XN 1765","07FEB 20:00","Flight scheduled","NLU-TIJ","XN","J","XN 1204","07FEB 21:55",
"Flight scheduled","TIJ-NLU","Y4","J","Y4 3296","07FEB 22:37","Flight scheduled","NLU-TIJ","Y4","J","Y4 3297","07FEB 23:19",
"Flight scheduled","LAP-NLU","Y4","J","Y4 7171","07FEB 20:23","Flight scheduled","NLU-BOG","Y4","J","Y4 3960","08FEB 00:36",
"Flight scheduled","ZIH-NLU","VB","J","VB 9313","07FEB 12:45","Flight scheduled","NLU-CTM","VB","J","VB 9462","08FEB 06:00",
"Flight scheduled","TIJ-NLU","VB","J","VB 5070","07FEB 15:35","Flight scheduled","NLU-MTY","VB","J","VB 9400","08FEB 06:00",
"Flight scheduled","MTY-NLU","VB","J","VB 7381","08FEB 00:25","Flight scheduled","NLU-GDL","VB","J","VB 9520","08FEB 06:00",
"Flight scheduled","CUN-NLU","VB","J","VB 2288","07FEB 23:50","Flight scheduled","NLU-CUN","VB","J","VB 2281","08FEB 06:20",
"Flight scheduled","GDL-NLU","Y4","J","Y4 1292","07FEB 20:28","Flight scheduled","NLU-GDL","Y4","J","Y4 1291","08FEB 06:30",
"Flight scheduled","BOG-NLU","VB","J","VB 771","08FEB 05:15","Flight scheduled","NLU-PXM","VB","J","VB 9222","08FEB 06:40",
"Flight scheduled","SJD-NLU","VB","J","VB 9497","07FEB 23:20","Flight scheduled","NLU-CEN","VB","J","VB 9480","08FEB 06:50",
"Flight scheduled","HUX-NLU","VB","J","VB 9295","07FEB 13:55","Flight scheduled","NLU-TIJ","VB","J","VB 5069","08FEB 08:00",
"Flight scheduled","GDL-NLU","VB","J","VB 7240","08FEB 07:15","Flight scheduled","NLU-TQO","VB","J","VB 7240","08FEB 08:00",
"Flight scheduled","SLP-NLU","ZV","J","ZV 341","08FEB 07:30","Flight scheduled","NLU-CVM","ZV","J","ZV 362","08FEB 08:00",
"Flight scheduled","BJX-NLU","VB","J","VB 7344","08FEB 07:30","Flight scheduled","NLU-CUU","VB","J","VB 7344","08FEB 08:00",
"Flight scheduled","MTY-NLU","VB","J","VB 7332","08FEB 07:35","Flight scheduled","NLU-VSA","VB","J","VB 7332","08FEB 08:05",
"Flight scheduled","TIJ-NLU","XN","J","XN 1205","08FEB 05:30","Flight scheduled","NLU-GDL","XN","J","XN 1432","08FEB 08:20",
"Flight scheduled","GDL-NLU","AM","J","AM 287","08FEB 07:51","Flight scheduled","NLU-CLQ","AM","J","AM 2436","08FEB 08:29",
"Flight scheduled","GDL-NLU","VB","J","VB 9523","07FEB 22:30","Flight scheduled","NLU-LAP","VB","J","VB 9298","08FEB 08:30",
"Flight scheduled","CUN-NLU","VB","J","VB 2272","08FEB 07:30","Flight scheduled","NLU-CUN","VB","J","VB 2273","08FEB 08:30",
"Flight scheduled","VER-NLU","AM","J","AM 871","08FEB 07:50","Flight scheduled","NLU-TQO","AM","J","AM 592","08FEB 08:30",
"Flight scheduled","MID-NLU","VB","J","VB 7350","08FEB 07:55","Flight scheduled","NLU-PVR","VB","J","VB 7350","08FEB 08:35",
"Flight scheduled","MTY-NLU","XN","J","XN 1107","06FEB 22:55","Flight scheduled","NLU-CTM","XN","J","XN 1730","08FEB 09:00",
"Flight scheduled","GDL-NLU","XN","J","XN 1433","07FEB 12:00","Flight scheduled","NLU-MTY","XN","J","XN 1102","08FEB 09:40",
"Flight scheduled","GDL-NLU","VB","J","VB 9521","08FEB 09:15","Flight scheduled","NLU-ZIH","VB","J","VB 9312","08FEB 10:00",
"Flight scheduled","MTY-NLU","VB","J","VB 9407","08FEB 09:40","Flight scheduled","NLU-SLW","VB","J","VB 9394","08FEB 10:10",
"Flight scheduled","PUJ-NLU","DM","J","DM 7104","08FEB 09:21","Flight scheduled","NLU-PUJ","DM","J","DM 7105","08FEB 10:21",
"Flight scheduled","PXM-NLU","VB","J","VB 9223","08FEB 09:50","Flight scheduled","NLU-HUX","VB","J","VB 9294","08FEB 10:35",
"Flight scheduled","GDL-NLU","Y4","J","Y4 1290","08FEB 09:43","Flight scheduled","NLU-CUN","Y4","J","Y4 3533","08FEB 10:44",
"Flight scheduled","MTY-NLU","XN","J","XN 1103","07FEB 13:20","Flight scheduled","NLU-PQM","XN","J","XN 1922","08FEB 11:00",
"Flight scheduled","MTY-NLU","VB","J","VB 9401","08FEB 10:20","Flight scheduled","NLU-MTY","VB","J","VB 9402","08FEB 11:05",
"Flight scheduled","CTM-NLU","VB","J","VB 9463","08FEB 10:40","Flight scheduled","NLU-NLD","VB","J","VB 9450","08FEB 11:10",
"Flight scheduled","TIJ-NLU","VB","J","VB 7428","08FEB 11:15","Flight scheduled","NLU-TGZ","VB","J","VB 7428","08FEB 11:55",
"Flight scheduled","BOG-NLU","Y4","J","Y4 3961","08FEB 10:49","Flight scheduled","NLU-SJD","Y4","J","Y4 7120","08FEB 12:14",
"Flight scheduled","VSA-NLU","VB","J","VB 7333","08FEB 11:45","Flight scheduled","NLU-MTY","VB","J","VB 7333","08FEB 12:20",
"Flight scheduled","CLQ-NLU","AM","J","AM 2437","08FEB 11:43","Flight scheduled","NLU-MID","AM","J","AM 878","08FEB 12:23",
"Flight scheduled","GDL-NLU","XN","J","XN 1433","08FEB 11:20","Flight scheduled","NLU-MID","XN","J","XN 1762","08FEB 12:30",
"Flight scheduled","CVM-NLU","ZV","J","ZV 363","08FEB 12:05","Flight scheduled","NLU-CVM","ZV","J","ZV 360","08FEB 12:35",
"Flight scheduled","VER-NLU","ZV","J","ZV 391","08FEB 11:40","Flight scheduled","NLU-VER","ZV","J","ZV 390","08FEB 12:50",
"Flight scheduled","CUN-NLU","VB","J","VB 7416","08FEB 12:00","Flight scheduled","NLU-CUL","VB","J","VB 7416","08FEB 12:50",
"Flight scheduled","PVR-NLU","VB","J","VB 7351","08FEB 12:20","Flight scheduled","NLU-MID","VB","J","VB 7351","08FEB 13:00",
"Flight scheduled","CEN-NLU","VB","J","VB 9481","08FEB 12:10","Flight scheduled","NLU-CUN","VB","J","VB 2283","08FEB 13:10",
"Flight scheduled","CUN-NLU","AM","J","AM 591","08FEB 11:56","Flight scheduled","NLU-CUN","AM","J","AM 596","08FEB 13:34",
"Flight scheduled","CUU-NLU","VB","J","VB 7345","08FEB 13:05","Flight scheduled","NLU-BJX","VB","J","VB 7345","08FEB 13:35",
"Flight scheduled","ZIH-NLU","VB","J","VB 9313","08FEB 12:45","Flight scheduled","NLU-MZT","VB","J","VB 9234","08FEB 13:40",
"Flight scheduled","TQO-NLU","VB","J","VB 7241","08FEB 12:55","Flight scheduled","NLU-GDL","VB","J","VB 7241","08FEB 13:40",
"Flight scheduled","TQO-NLU","AM","J","AM 593","08FEB 13:32","Flight scheduled","NLU-PVR","AM","J","AM 880","08FEB 14:12",
"Flight scheduled","LAP-NLU","VB","J","VB 9299","08FEB 13:25","Flight scheduled","NLU-HMO","VB","J","VB 9304","08FEB 14:15",
"Flight scheduled","MTY-NLU","XN","J","XN 1103","08FEB 13:20","Flight scheduled","NLU-TQO","XN","J","XN 1782","08FEB 14:25",
"Flight scheduled","CTM-NLU","XN","J","XN 1731","08FEB 13:35","Flight scheduled","NLU-SJD","XN","J","XN 1234","08FEB 14:25",
"Flight scheduled","SLW-NLU","VB","J","VB 9395","08FEB 13:45","Flight scheduled","NLU-REX","VB","J","VB 9386","08FEB 14:35",
"Flight scheduled","MID-NLU","XN","J","XN 1767","06FEB 23:05","Flight scheduled","NLU-ZIH","XN","J","XN 1952","08FEB 14:40",
"Flight scheduled","HUX-NLU","VB","J","VB 9295","08FEB 13:55","Flight scheduled","NLU-MAM","VB","J","VB 9532","08FEB 14:45",
"Flight scheduled","CUN-NLU","VB","J","VB 7008","08FEB 15:05","Flight scheduled","NLU-OAX","VB","J","VB 7008","08FEB 15:40",
"Flight scheduled","NLD-NLU","VB","J","VB 9451","08FEB 14:55","Flight scheduled","NLU-MTY","VB","J","VB 7820","08FEB 15:50",
"Flight scheduled","TGZ-NLU","VB","J","VB 7429","08FEB 15:45","Flight scheduled","NLU-TIJ","VB","J","VB 7429","08FEB 16:25",
"Flight scheduled","TIJ-NLU","VB","J","VB 5070","08FEB 15:35","Flight scheduled","NLU-CUN","VB","J","VB 2279","08FEB 16:30",
"Flight scheduled","PQM-NLU","XN","J","XN 1923","08FEB 14:55","Flight scheduled","NLU-MZT","XN","J","XN 1264","08FEB 16:45",
"Flight scheduled","CVM-NLU","ZV","J","ZV 361","08FEB 16:40","Flight scheduled","NLU-SLP","ZV","J","ZV 340","08FEB 17:10",
"Flight scheduled","SJD-NLU","Y4","J","Y4 7121","08FEB 17:04","Flight scheduled","NLU-GDL","Y4","J","Y4 1293","08FEB 17:15",
"Flight scheduled","MID-NLU","AM","J","AM 875","08FEB 16:50","Flight scheduled","NLU-DGO","AM","J","AM 2600","08FEB 17:30",
"Flight scheduled","MID-NLU","XN","J","XN 1763","08FEB 16:50","Flight scheduled","NLU-PVR","XN","J","XN 1444","08FEB 17:40",
"Flight scheduled","CUN-NLU","Y4","J","Y4 3532","08FEB 16:20","Flight scheduled","NLU-MID","Y4","J","Y4 7110","08FEB 17:43",
"Flight scheduled","MTY-NLU","VB","J","VB 7016","08FEB 17:25","Flight scheduled","NLU-ACA","VB","J","VB 7016","08FEB 17:55",
"Flight scheduled","CUL-NLU","VB","J","VB 7417","08FEB 17:25","Flight scheduled","NLU-CUN","VB","J","VB 7417","08FEB 18:10",
"Flight scheduled","MZT-NLU","VB","J","VB 9235","08FEB 17:40","Flight scheduled","NLU-SJD","VB","J","VB 9496","08FEB 18:25",
"Flight scheduled","MTY-NLU","VB","J","VB 4412","08FEB 18:05","Flight scheduled","NLU-MTY","VB","J","VB 4413","08FEB 18:35",
"Flight scheduled","CJS-NLU","VB","J","VB 7434","09FEB 17:55","Flight scheduled","NLU-VER","VB","J","VB 7434","08FEB 18:35",
"Flight scheduled","PVR-NLU","AM","J","AM 881","08FEB 17:58","Flight scheduled","NLU-OAX","AM","J","AM 2042","08FEB 18:38",
"Flight scheduled","MID-NLU","VB","J","VB 7282","08FEB 18:10","Flight scheduled","NLU-PXM","VB","J","VB 7282","08FEB 18:50",
"Flight scheduled","REX-NLU","VB","J","VB 9387","08FEB 18:00","Flight scheduled","NLU-BOG","VB","J","VB 770","08FEB 19:00",
"Flight scheduled","MAM-NLU","VB","J","VB 9533","08FEB 18:20","Flight scheduled","NLU-GDL","VB","J","VB 9522","08FEB 19:00",
"Flight scheduled","OAX-NLU","VB","J","VB 7009","08FEB 18:25","Flight scheduled","NLU-CUN","VB","J","VB 7009","08FEB 19:00",
"Flight scheduled","CUN-NLU","VB","J","VB 2284","08FEB 18:35","Flight scheduled","NLU-MID","VB","J","VB 9410","08FEB 19:15",
"Flight scheduled","ZIH-NLU","XN","J","XN 1953","08FEB 17:45","Flight scheduled","NLU-MTY","XN","J","XN 1106","08FEB 19:20",
"Flight scheduled","SJD-NLU","XN","J","XN 1235","08FEB 19:10","Flight scheduled","NLU-GDL","XN","J","XN 1436","08FEB 20:00",
"Flight scheduled","MTY-NLU","AM","J","AM 995","08FEB 20:02","Flight scheduled","NLU-GDL","AM","J","AM 284","08FEB 20:40",
"Flight scheduled","ACA-NLU","VB","J","VB 7017","08FEB 20:50","Flight scheduled","NLU-MTY","VB","J","VB 7017","08FEB 21:20",
"Flight scheduled","OAX-NLU","AM","J","AM 2041","08FEB 20:49","Flight scheduled","NLU-VER","AM","J","AM 872","08FEB 21:30",
"Flight scheduled","TAM-NLU","VB","J","VB 7305","08FEB 21:00","Flight scheduled","NLU-GDL","VB","J","VB 7305","08FEB 21:30",
"Flight scheduled","DGO-NLU","AM","J","AM 2469","08FEB 21:10","Flight scheduled","NLU-MTY","AM","J","AM 998","08FEB 21:50",
"Flight scheduled","PVR-NLU","XN","J","XN 1445","08FEB 21:10","Flight scheduled","NLU-TIJ","XN","J","XN 1204","08FEB 21:55",
"Flight scheduled","VER-NLU","VB","J","VB 7435","08FEB 21:30","Flight scheduled","NLU-CJS","VB","J","VB 7435","08FEB 22:10",
"Flight scheduled","PXM-NLU","VB","J","VB 7283","08FEB 22:10","Flight scheduled","NLU-MID","VB","J","VB 7283","08FEB 22:50",
"Flight scheduled","TIJ-NLU","Y4","J","Y4 3296","08FEB 22:37","Flight scheduled","NLU-TIJ","Y4","J","Y4 3297","08FEB 23:19",
"Flight scheduled","MID-NLU","Y4","J","Y4 7111","08FEB 21:53","Flight scheduled","NLU-BOG","Y4","J","Y4 3960","09FEB 00:36",
"Flight scheduled","GDL-NLU","VB","J","VB 9523","08FEB 22:30","Flight scheduled","NLU-GDL","VB","J","VB 9520","09FEB 06:00",
"Flight scheduled","SJD-NLU","VB","J","VB 9497","08FEB 23:20","Flight scheduled","NLU-MTY","VB","J","VB 7382","09FEB 06:00",
"Flight scheduled","MID-NLU","VB","J","VB 9411","08FEB 23:40","Flight scheduled","NLU-CUN","VB","J","VB 2281","09FEB 06:20",
"Flight scheduled","GDL-NLU","Y4","J","Y4 1292","08FEB 20:28","Flight scheduled","NLU-GDL","Y4","J","Y4 1291","09FEB 06:30",
"Flight scheduled","GDL-NLU","XN","J","XN 1437","08FEB 23:00","Flight scheduled","NLU-GDL","XN","J","XN 1430","09FEB 06:30",
"Flight scheduled","MZT-NLU","XN","J","XN 1265","08FEB 20:35","Flight scheduled","NLU-MID","XN","J","XN 1760","09FEB 06:50",
"Flight scheduled","CUN-NLU","VB","J","VB 2288","08FEB 23:50","Flight scheduled","NLU-CEN","VB","J","VB 9480","09FEB 06:50",
"Flight scheduled","HMO-NLU","VB","J","VB 9305","08FEB 20:05","Flight scheduled","NLU-TIJ","VB","J","VB 5069","09FEB 08:00",
"Flight scheduled","CUN-NLU","VB","J","VB 2278","08FEB 21:50","Flight scheduled","NLU-NLD","VB","J","VB 9450","09FEB 08:20",
"Flight scheduled","MTY-NLU","VB","J","VB 9405","09FEB 00:25","Flight scheduled","NLU-LAP","VB","J","VB 9298","09FEB 08:30",
"Flight scheduled","MTY-NLU","XN","J","XN 1107","08FEB 22:55","Flight scheduled","NLU-TQO","XN","J","XN 1780","09FEB 08:50",
"Flight scheduled","TQO-NLU","XN","J","XN 1783","08FEB 19:10","Flight scheduled","NLU-CVM","XN","J","XN 1142","09FEB 11:00",
"Flight scheduled","NLD-NLU","VB","J","VB 9451","07FEB 12:05","Flight scheduled","NLU-HMO","VB","J","VB 9304","09FEB 18:20",
"Flight scheduled","CJS-NLU","VB","J","VB 7434","07FEB 17:55","Flight scheduled","NLU-VER","VB","J","VB 7434","09FEB 18:35",
