date,comercial_ops,comercial_pax,general_ops,general_pax,carga_ops,carga_tons,carga_cutoff_date,carga_cutoff_note
2025-10-27,142,20580,18,121,21,620,2025-10-23,Cifras del 26 de octubre de 2025.
2025-10-28,121,16962,11,27,21,620,2025-10-26,Toneladas actualizadas al 26 de octubre de 2025 (ultimo corte disponible).
2025-10-29,136,18143,3,6,14,379,2025-10-28,Toneladas actualizadas al 28 de octubre de 2025 (ultimo corte disponible).
2025-10-30,146,20253,9,233,14,379,2025-10-28,Cifras del 28 de octubre de 2025
2025-10-31,161,21611,14,31,32,1121,2025-10-30,Cifras del 30 de octubre de 2025.
2025-11-01,145,17186,3,47,32,1121,2025-10-30,Cifras del 30 de octubre de 2025.
2025-11-02,160,20977,17,209,32,1121,2025-10-30,Cifras del 30 de octubre de 2025.
2025-11-03,150,21525,18,44,32,1121,2025-10-30,Cifras del 30 de octubre de 2025.
2025-11-04,142,18746,14,81,22,753,2025-11-02,Cifras del 02 de noviembre de 2025.
2025-11-05,154,21097,8,23,23,747,2025-11-04,Cifras del 04 de noviembre de 2025.
2025-11-06,154,21458,14,21,23,775,2025-11-04,Cifras del 04 de noviembre de 2025.
2025-11-07,148,21548,8,18,16,424,2025-11-06,Cifras del 06 de noviembre de 2025.
2025-11-08,136,17658,10,23,16,424,2025-11-06,Cifras del 06 de noviembre de 2025.
2025-11-09,154,22170,5,14,16,424,2025-11-06,Cifras del 06 de noviembre de 2025.
2025-11-10,152,22119,9,19,31,1079,2025-11-09,Cifras del 09 de noviembre de 2025.
2025-11-11,139,18904,5,14,31,1079,2025-11-09,Cifras del 09 de noviembre de 2025.
2025-11-12,149,20757,9,31,20,636,2025-11-11,Cifras del 11 de noviembre de 2025.
2025-11-13,161,22643,9,59,20,636,2025-11-11,Cifras del 11 de noviembre de 2025.
2025-11-14,156,23383,7,10,21,706,2025-11-13,Cifras del 13 de noviembre de 2025.
2025-11-15,145,20880,6,59,21,706,2025-11-13,Cifras del 13 de noviembre de 2025.
2025-11-16,149,19802,12,28,21,706,2025-11-13,Cifras del 13 de noviembre de 2025.
2025-11-17,156,21082,6,19,21,706,2025-11-13,Cifras del 13 de noviembre de 2025.
2025-11-18,146,21670,17,36,17,654,2025-11-17,Cifras del 17 de noviembre de 2025.
2025-11-19,151,19479,10,31,12,423,2025-11-19,Cifras del 19 de noviembre de 2025.
2025-11-20,150,19728,19,39,12,423,2025-11-19,Cifras del 19 de noviembre de 2025.
2025-11-21,150,20384,7,29,31,802,2025-11-20,Cifras del 20 de noviembre de 2025.
2025-11-22,143,19503,5,13,31,802,2025-11-20,Cifras del 20 de noviembre de 2025.
2025-11-23,158,18222,2,7,31,802,2025-11-20,Cifras del 20 de noviembre de 2025.
2025-11-24,145,16066,7,16,31,802,2025-11-23,Cifras del 23 de noviembre de 2025.
2025-11-25,143,20441,8,18,26,690,2025-11-25,Cifras del 25 de noviembre de 2025.
2025-11-26,149,20080,23,44,26,690,2025-11-25,Cifras del 25 de noviembre de 2025.
2025-11-27,146,21113,0,0,26,690,2025-11-25,Cifras del 25 de noviembre de 2025.
2025-11-28,146,21241,6,57,30,957,2025-11-27,Cifras del 27 de noviembre de 2025.
2025-11-29,135,18639,4,18,30,957,2025-11-27,Cifras del 27 de noviembre de 2025.
2025-12-01,154,22766,8,27,22,872,2025-11-30,Cifras del 30 de noviembre de 2025.
2025-12-02,130,17667,3,4,22,872,2025-11-30,Cifras del 30 de noviembre de 2025.
2025-12-03,145,19149,9,332,6,40,2025-12-03,Cifras del 03 de diciembre de 2025.
2025-12-04,153,20412,13,280,6,40,2025-12-03,Cifras del 03 de diciembre de 2025.
2025-12-05,160,23006,7,12,24,801,2025-12-04,Cifras del 04 de diciembre de 2025.
2025-12-06,142,19586,10,50,24,801,2025-12-04,Cifras del 04 de diciembre de 2025.
2025-12-07,157,21788,6,50,24,801,2025-12-04,Cifras del 04 de diciembre de 2025.
2025-12-08,159,21818,10,33,25,670,2025-12-07,Cifras del 07 de diciembre de 2025.
2025-12-09,132,17657,11,11,25,670,2025-12-07,Cifras del 07 de diciembre de 2025.
2025-12-10,147,19397,11,11,28,786,2025-12-09,Cifras del 09 de diciembre de 2025.
2025-12-11,157,21867,17,42,26,697,2025-12-11,Cifras del 11 de diciembre de 2025.
2025-12-12,157,22461,7,106,26,697,2025-12-11,Cifras del 11 de diciembre de 2025.
2025-12-13,148,21547,8,18,26,697,2025-12-11,Cifras del 11 de diciembre de 2025.
2025-12-14,147,22012,10,14,26,697,2025-12-11,Cifras del 11 de diciembre de 2025.