[Dep] Status,[Dep] Routing,[Dep] Airline code,[Dep] Service Type,[Dep] Flight Designator,[Dep] SOBT
"Flight scheduled","NLU-TIJ","VB","J","VB 7429","22JAN 16:25",
"Flight scheduled","NLU-CUN","VB","J","VB 2279","22JAN 16:30",
"Flight scheduled","NLU-SLP","ZV","J","ZV 340","22JAN 17:10",
"Flight scheduled","NLU-GDL","Y4","J","Y4 1293","22JAN 17:15",
"Flight scheduled","NLU-DGO","AM","J","AM 2600","22JAN 17:35",
"Flight scheduled","NLU-ACA","VB","J","VB 7016","22JAN 17:55",
"Flight scheduled","NLU-CUN","VB","J","VB 7417","22JAN 18:10",
"Flight scheduled","NLU-TAM","VB","J","VB 7304","22JAN 18:10",
"Flight scheduled","NLU-SJD","VB","J","VB 9496","22JAN 18:25",
"Flight scheduled","NLU-VER","VB","J","VB 7434","22JAN 18:25",
"Flight scheduled","NLU-HMO","VB","J","VB 9304","22JAN 18:30",
"Flight scheduled","NLU-OAX","AM","J","AM 2042","22JAN 18:35",
"Flight scheduled","NLU-MTY","VB","J","VB 4413","22JAN 18:35",
"Flight scheduled","NLU-CUN","VB","J","VB 7009","22JAN 19:00",
"Flight scheduled","NLU-BOG","VB","J","VB 770","22JAN 19:00",
"Flight scheduled","NLU-GDL","VB","J","VB 9522","22JAN 19:15",
"Flight scheduled","NLU-MTY","XN","J","XN 1106","22JAN 19:20",
"Flight scheduled","NLU-GDL","XN","J","XN 1436","22JAN 20:00",
"Flight scheduled","NLU-GDL","AM","J","AM 284","22JAN 20:54",
"Flight scheduled","NLU-MTY","VB","J","VB 7017","22JAN 21:20",
"Flight scheduled","NLU-VER","AM","J","AM 872","22JAN 21:30",
"Flight scheduled","NLU-GDL","VB","J","VB 7305","22JAN 21:30",
"Flight scheduled","NLU-CJS","VB","J","VB 7435","22JAN 21:50",
"Flight scheduled","NLU-TIJ","XN","J","XN 1204","22JAN 21:55",
"Flight scheduled","NLU-MTY","AM","J","AM 998","22JAN 21:57",
"Flight scheduled","NLU-MID","VB","J","VB 7283","22JAN 22:50",
"Flight scheduled","NLU-TIJ","Y4","J","Y4 3297","22JAN 23:19",
"Flight scheduled","NLU-SDQ","DM","J","DM 4101","22JAN 23:44",
"Flight scheduled","NLU-BOG","Y4","J","Y4 3960","23JAN 00:36",
"Flight scheduled","NLU-GDL","VB","J","VB 9520","23JAN 06:00",
"Flight scheduled","NLU-MTY","XN","J","XN 1100","23JAN 06:00",
"Flight scheduled","NLU-MTY","VB","J","VB 7382","23JAN 06:00",
"Flight scheduled","NLU-CUN","VB","J","VB 2281","23JAN 06:15",
"Flight scheduled","NLU-GDL","XN","J","XN 1430","23JAN 06:30",
"Flight scheduled","NLU-GDL","Y4","J","Y4 1291","23JAN 06:30",
"Flight scheduled","NLU-PXM","VB","J","VB 9222","23JAN 06:40",
"Flight scheduled","NLU-MID","XN","J","XN 1760","23JAN 06:50",
"Flight scheduled","NLU-CTM","VB","J","VB 9462","23JAN 07:30",
"Flight scheduled","NLU-TQO","VB","J","VB 7240","23JAN 07:45",
"Flight scheduled","NLU-CEN","VB","J","VB 9480","23JAN 07:50",
"Flight scheduled","NLU-CUU","VB","J","VB 7344","23JAN 08:00",
"Flight scheduled","NLU-CVM","ZV","J","ZV 362","23JAN 08:00",
"Flight scheduled","NLU-TIJ","VB","J","VB 5069","23JAN 08:00",
"Flight scheduled","NLU-VSA","VB","J","VB 7332","23JAN 08:05",
"Flight scheduled","NLU-TQO","AM","J","AM 592","23JAN 08:16",
"Flight scheduled","NLU-NLD","VB","J","VB 9450","23JAN 08:20",
"Flight scheduled","NLU-CLQ","AM","J","AM 2436","23JAN 08:24",
"Flight scheduled","NLU-CUN","VB","J","VB 2273","23JAN 08:30",
"Flight scheduled","NLU-PVR","VB","J","VB 7350","23JAN 08:35",
"Flight scheduled","NLU-TQO","XN","J","XN 1780","23JAN 08:50",
"Flight scheduled","NLU-ZIH","VB","J","VB 9312","23JAN 10:00",
"Flight scheduled","NLU-CPE","XN","J","XN 1700","23JAN 10:30",
"Flight scheduled","NLU-HUX","VB","J","VB 9294","23JAN 10:35",
"Flight scheduled","NLU-SJD","XN","J","XN 1232","23JAN 10:40",
"Flight scheduled","NLU-CUN","Y4","J","Y4 3533","23JAN 10:44",
"Flight scheduled","NLU-ZIH","XN","J","XN 1952","23JAN 11:00",
"Flight scheduled","NLU-MTY","VB","J","VB 9402","23JAN 11:05",
"Flight scheduled","NLU-TGZ","VB","J","VB 7428","23JAN 11:45",
"Flight scheduled","NLU-IZT","XN","J","XN 1992","23JAN 12:10",
"Flight scheduled","NLU-SJD","Y4","J","Y4 7120","23JAN 12:14",
"Flight scheduled","NLU-MTY","VB","J","VB 7333","23JAN 12:20",
"Flight scheduled","NLU-MID","AM","J","AM 878","23JAN 12:23",
"Flight scheduled","NLU-CVM","ZV","J","ZV 360","23JAN 12:35",
"Flight scheduled","NLU-CUL","VB","J","VB 7416","23JAN 12:45",
"Flight scheduled","NLU-MID","VB","J","VB 7351","23JAN 13:00",
"Flight scheduled","NLU-CUN","VB","J","VB 2283","23JAN 13:05",
"Flight scheduled","NLU-LAX","M7","J","M7 3114","23JAN 13:05",
"Flight scheduled","NLU-CUN","AM","J","AM 596","23JAN 13:34",
"Flight scheduled","NLU-SLW","VB","J","VB 9394","23JAN 13:35",
"Flight scheduled","NLU-BJX","VB","J","VB 7345","23JAN 13:35",
"Flight scheduled","NLU-MZT","VB","J","VB 9234","23JAN 13:40",
"Flight scheduled","NLU-REX","VB","J","VB 9386","23JAN 14:05",
"Flight scheduled","NLU-PVR","AM","J","AM 880","23JAN 14:07",
"Flight scheduled","NLU-PVR","XN","J","XN 1442","23JAN 14:35",
"Flight scheduled","NLU-MAM","VB","J","VB 9532","23JAN 14:45",
"Flight scheduled","NLU-MZT","XN","J","XN 1264","23JAN 14:55",
"Flight scheduled","NLU-OAX","VB","J","VB 7008","23JAN 15:40",
"Flight scheduled","NLU-CVM","XN","J","XN 1144","23JAN 15:40",
"Flight scheduled","NLU-MTY","VB","J","VB 7820","23JAN 15:50",
"Flight scheduled","NLU-TIJ","VB","J","VB 7429","23JAN 16:25",
"Flight scheduled","NLU-ACA","VB","J","VB 9296","23JAN 16:30",
"Flight scheduled","NLU-SLP","ZV","J","ZV 340","23JAN 17:10",
"Flight scheduled","NLU-GDL","Y4","J","Y4 1293","23JAN 17:15",
"Flight scheduled","NLU-DGO","AM","J","AM 2600","23JAN 17:35",
"Flight scheduled","NLU-MID","Y4","J","Y4 7110","23JAN 17:43",
"Flight scheduled","NLU-TAM","VB","J","VB 7304","23JAN 18:10",
"Flight scheduled","NLU-CUN","VB","J","VB 7417","23JAN 18:10",
"Flight scheduled","NLU-HMO","VB","J","VB 9304","23JAN 18:15",
"Flight scheduled","NLU-VER","VB","J","VB 7434","23JAN 18:25",
"Flight scheduled","NLU-SJD","VB","J","VB 9496","23JAN 18:25",
"Flight scheduled","NLU-OAX","AM","J","AM 2042","23JAN 18:35",
"Flight scheduled","NLU-MTY","VB","J","VB 4413","23JAN 18:35",
"Flight scheduled","NLU-MTY","VB","J","VB 4411","23JAN 18:40",
"Flight scheduled","NLU-MID","XN","J","XN 1766","23JAN 18:45",
"Flight scheduled","NLU-BOG","VB","J","VB 770","23JAN 19:00",
"Flight scheduled","NLU-GDL","VB","J","VB 9522","23JAN 19:00",
"Flight scheduled","NLU-CUN","VB","J","VB 7009","23JAN 19:00",
"Flight scheduled","NLU-MTY","XN","J","XN 1106","23JAN 19:20",
"Flight scheduled","NLU-MID","VB","J","VB 9410","23JAN 19:25",
"Flight scheduled","NLU-GDL","XN","J","XN 1436","23JAN 20:00",
"Flight scheduled","NLU-GDL","AM","J","AM 284","23JAN 20:54",
"Flight scheduled","NLU-VER","AM","J","AM 872","23JAN 21:30",
"Flight scheduled","NLU-GDL","VB","J","VB 7305","23JAN 21:30",
"Flight scheduled","NLU-CJS","VB","J","VB 7435","23JAN 21:50",
"Flight scheduled","NLU-TIJ","XN","J","XN 1204","23JAN 21:55",
"Flight scheduled","NLU-MTY","AM","J","AM 998","23JAN 21:57",
"Flight scheduled","NLU-MID","VB","J","VB 7283","23JAN 22:50",
"Flight scheduled","NLU-TIJ","Y4","J","Y4 3297","23JAN 23:19",
"Flight scheduled","NLU-SDQ","DM","J","DM 4159","23JAN 23:44",
"Flight scheduled","NLU-GDL","VB","J","VB 9520","24JAN 06:00",
"Flight scheduled","NLU-HAV","VB","J","VB 842","24JAN 06:00",
"Flight scheduled","NLU-MTY","VB","J","VB 9400","24JAN 06:00",
"Flight scheduled","NLU-MID","Y4","J","Y4 7110","24JAN 06:09",
"Flight scheduled","NLU-CUN","VB","J","VB 2281","24JAN 06:15",
"Flight scheduled","NLU-GDL","Y4","J","Y4 1291","24JAN 06:30",
"Flight scheduled","NLU-PXM","VB","J","VB 9222","24JAN 06:40",
"Flight scheduled","NLU-TQO","VB","J","VB 7240","24JAN 07:45",
"Flight scheduled","NLU-CVM","ZV","J","ZV 362","24JAN 08:00",
"Flight scheduled","NLU-CUU","VB","J","VB 7344","24JAN 08:00",
"Flight scheduled","NLU-TIJ","VB","J","VB 5069","24JAN 08:00",
"Flight scheduled","NLU-VSA","VB","J","VB 7332","24JAN 08:05",
"Flight scheduled","NLU-TQO","AM","J","AM 592","24JAN 08:16",
"Flight scheduled","NLU-NLD","VB","J","VB 9450","24JAN 08:20",
"Flight scheduled","NLU-CLQ","AM","J","AM 2436","24JAN 08:24",
"Flight scheduled","NLU-TPQ","VB","J","VB 9428","24JAN 08:30",
"Flight scheduled","NLU-CUN","VB","J","VB 2273","24JAN 08:30",
"Flight scheduled","NLU-PVR","VB","J","VB 7350","24JAN 08:35",
"Flight scheduled","NLU-TQO","XN","J","XN 1780","24JAN 08:50",
"Flight scheduled","NLU-GDL","XN","J","XN 1432","24JAN 09:00",
"Flight scheduled","NLU-MTY","XN","J","XN 1102","24JAN 09:40",
"Flight scheduled","NLU-ZIH","VB","J","VB 9312","24JAN 10:00",
"Flight scheduled","NLU-PUJ","DM","J","DM 7105","24JAN 10:06",
"Flight scheduled","NLU-HUX","VB","J","VB 9294","24JAN 10:35",
"Flight scheduled","NLU-CUN","Y4","J","Y4 3533","24JAN 10:44",
"Flight scheduled","NLU-TGZ","VB","J","VB 7428","24JAN 11:45",
"Flight scheduled","NLU-MTY","VB","J","VB 7333","24JAN 12:20",
"Flight scheduled","NLU-MID","AM","J","AM 878","24JAN 12:23",
"Flight scheduled","NLU-LAP","VB","J","VB 9298","24JAN 12:35",
"Flight scheduled","NLU-CVM","ZV","J","ZV 360","24JAN 12:35",
"Flight scheduled","NLU-CUL","VB","J","VB 7416","24JAN 12:45",
"Flight scheduled","NLU-MID","VB","J","VB 7351","24JAN 13:00",
"Flight scheduled","NLU-GDL","VB","J","VB 7241","24JAN 13:10",
"Flight scheduled","NLU-CUN","AM","J","AM 596","24JAN 13:34",
"Flight scheduled","NLU-BJX","VB","J","VB 7345","24JAN 13:35",
"Flight scheduled","NLU-SLW","VB","J","VB 9394","24JAN 13:35",
"Flight scheduled","NLU-PVR","AM","J","AM 880","24JAN 14:07",
"Flight scheduled","NLU-LAP","Y4","J","Y4 7170","24JAN 15:22",
"Flight scheduled","NLU-OAX","VB","J","VB 7008","24JAN 15:40",
"Flight scheduled","NLU-MID","XN","J","XN 1764","24JAN 15:40",
"Flight scheduled","NLU-MTY","VB","J","VB 7380","24JAN 15:40",
"Flight scheduled","NLU-TIJ","VB","J","VB 7429","24JAN 16:25",
"Flight scheduled","NLU-SLP","ZV","J","ZV 340","24JAN 17:10",
"Flight scheduled","NLU-GDL","Y4","J","Y4 1293","24JAN 17:15",
"Flight scheduled","NLU-DGO","AM","J","AM 2600","24JAN 17:35",
"Flight scheduled","NLU-ACA","VB","J","VB 7016","24JAN 17:55",
"Flight scheduled","NLU-CUN","VB","J","VB 7417","24JAN 18:10",
"Flight scheduled","NLU-SJD","VB","J","VB 9496","24JAN 18:25",
"Flight scheduled","NLU-OAX","AM","J","AM 2042","24JAN 18:35",
"Flight scheduled","NLU-MID","VB","J","VB 6017","24JAN 18:55",
"Flight scheduled","NLU-BOG","VB","J","VB 770","24JAN 19:00",
"Flight scheduled","NLU-CUN","VB","J","VB 7009","24JAN 19:00",
"Flight scheduled","NLU-GDL","AM","J","AM 284","24JAN 20:54",
"Flight scheduled","NLU-MTY","VB","J","VB 7017","24JAN 21:20",
"Flight scheduled","NLU-VER","AM","J","AM 872","24JAN 21:30",
"Flight scheduled","NLU-TIJ","XN","J","XN 1204","24JAN 21:55",
"Flight scheduled","NLU-MTY","AM","J","AM 998","24JAN 21:57",
"Flight scheduled","NLU-TIJ","Y4","J","Y4 3297","24JAN 23:19",
"Flight scheduled","NLU-BOG","Y4","J","Y4 3960","25JAN 00:36",
"Flight scheduled","NLU-CTM","VB","J","VB 9462","25JAN 06:00",
"Flight scheduled","NLU-TIJ","XN","J","XN 2200","25JAN 06:10",
"Flight scheduled","NLU-CUN","VB","J","VB 2281","25JAN 06:15",
"Flight scheduled","NLU-GDL","Y4","J","Y4 1291","25JAN 06:30",
"Flight scheduled","NLU-PXM","VB","J","VB 9222","25JAN 06:40",
"Flight scheduled","NLU-CEN","VB","J","VB 9480","25JAN 06:50",
"Flight scheduled","NLU-TQO","VB","J","VB 7240","25JAN 07:45",
"Flight scheduled","NLU-CUU","VB","J","VB 7344","25JAN 08:00",
"Flight scheduled","NLU-CVM","ZV","J","ZV 362","25JAN 08:00",
"Flight scheduled","NLU-TIJ","VB","J","VB 5069","25JAN 08:00",
"Flight scheduled","NLU-VSA","VB","J","VB 7332","25JAN 08:05",
"Flight scheduled","NLU-TQO","AM","J","AM 592","25JAN 08:16",
"Flight scheduled","NLU-GDL","XN","J","XN 1432","25JAN 08:20",
"Flight scheduled","NLU-LAP","VB","J","VB 9298","25JAN 08:20",
"Flight scheduled","NLU-CLQ","AM","J","AM 2436","25JAN 08:24",
"Flight scheduled","NLU-CUN","VB","J","VB 2273","25JAN 08:30",
"Flight scheduled","NLU-PVR","VB","J","VB 7350","25JAN 08:35",
"Flight scheduled","NLU-CTM","XN","J","XN 1730","25JAN 09:00",
"Flight scheduled","NLU-MTY","XN","J","XN 1102","25JAN 09:40",
"Flight scheduled","NLU-ZIH","VB","J","VB 9312","25JAN 10:00",
"Flight scheduled","NLU-SLW","VB","J","VB 9394","25JAN 10:10",
"Flight scheduled","NLU-PUJ","DM","J","DM 7105","25JAN 10:21",
"Flight scheduled","NLU-HUX","VB","J","VB 9294","25JAN 10:35",
"Flight scheduled","NLU-CUN","Y4","J","Y4 3533","25JAN 10:44",
"Flight scheduled","NLU-PQM","XN","J","XN 1922","25JAN 11:00",
"Flight scheduled","NLU-MTY","VB","J","VB 9402","25JAN 11:05",
"Flight scheduled","NLU-NLD","VB","J","VB 9450","25JAN 11:10",
"Flight scheduled","NLU-TGZ","VB","J","VB 7428","25JAN 11:45",
"Flight scheduled","NLU-SJD","Y4","J","Y4 7120","25JAN 12:14",
"Flight scheduled","NLU-MTY","VB","J","VB 7333","25JAN 12:20",
"Flight scheduled","NLU-MID","AM","J","AM 878","25JAN 12:23",
"Flight scheduled","NLU-MID","XN","J","XN 1762","25JAN 12:30",
"Flight scheduled","NLU-CVM","ZV","J","ZV 360","25JAN 12:35",
"Flight scheduled","NLU-CUL","VB","J","VB 7416","25JAN 12:45",
"Flight scheduled","NLU-VER","ZV","J","ZV 390","25JAN 12:50",
"Flight scheduled","NLU-MID","VB","J","VB 7351","25JAN 13:00",
"Flight scheduled","NLU-CUN","VB","J","VB 2283","25JAN 13:05",
"Flight scheduled","NLU-CUN","AM","J","AM 596","25JAN 13:34",
"Flight scheduled","NLU-BJX","VB","J","VB 7345","25JAN 13:35",
"Flight scheduled","NLU-MZT","VB","J","VB 9234","25JAN 13:40",
"Flight scheduled","NLU-HMO","VB","J","VB 9304","25JAN 14:05",
"Flight scheduled","NLU-PVR","AM","J","AM 880","25JAN 14:07",
"Flight scheduled","NLU-TQO","XN","J","XN 1782","25JAN 14:25",
"Flight scheduled","NLU-SJD","XN","J","XN 1234","25JAN 14:25",
"Flight scheduled","NLU-REX","VB","J","VB 9386","25JAN 14:35",
"Flight scheduled","NLU-ZIH","XN","J","XN 1952","25JAN 14:40",
"Flight scheduled","NLU-MAM","VB","J","VB 9532","25JAN 14:45",
"Flight scheduled","NLU-OAX","VB","J","VB 7008","25JAN 15:40",
"Flight scheduled","NLU-MTY","VB","J","VB 7820","25JAN 15:50",
"Flight scheduled","NLU-TIJ","VB","J","VB 7429","25JAN 16:25",
"Flight scheduled","NLU-CUN","VB","J","VB 2279","25JAN 16:30",
"Flight scheduled","NLU-MZT","XN","J","XN 1264","25JAN 16:45",
"Flight scheduled","NLU-SLP","ZV","J","ZV 340","25JAN 17:10",
"Flight scheduled","NLU-GDL","Y4","J","Y4 1293","25JAN 17:15",
"Flight scheduled","NLU-DGO","AM","J","AM 2600","25JAN 17:35",
"Flight scheduled","NLU-PVR","XN","J","XN 1444","25JAN 17:40",
"Flight scheduled","NLU-MID","Y4","J","Y4 7110","25JAN 17:43",
"Flight scheduled","NLU-ACA","VB","J","VB 7016","25JAN 17:55",
"Flight scheduled","NLU-TAM","VB","J","VB 7304","25JAN 18:10",
"Flight scheduled","NLU-CUN","VB","J","VB 7417","25JAN 18:10",
"Flight scheduled","NLU-VER","VB","J","VB 7434","25JAN 18:25",
"Flight scheduled","NLU-SJD","VB","J","VB 9496","25JAN 18:25",
"Flight scheduled","NLU-OAX","AM","J","AM 2042","25JAN 18:35",
"Flight scheduled","NLU-MTY","VB","J","VB 4413","25JAN 18:35",
"Flight scheduled","NLU-BOG","VB","J","VB 770","25JAN 19:00",
"Flight scheduled","NLU-GDL","VB","J","VB 9522","25JAN 19:00",
"Flight scheduled","NLU-CUN","VB","J","VB 7009","25JAN 19:00",
"Flight scheduled","NLU-MTY","XN","J","XN 1106","25JAN 19:20",
"Flight scheduled","NLU-MID","VB","J","VB 9410","25JAN 19:25",
"Flight scheduled","NLU-GDL","XN","J","XN 1436","25JAN 20:00",
"Flight scheduled","NLU-GDL","AM","J","AM 284","25JAN 20:54",
"Flight scheduled","NLU-MTY","VB","J","VB 7017","25JAN 21:20",
"Flight scheduled","NLU-VER","AM","J","AM 872","25JAN 21:30",
"Flight scheduled","NLU-GDL","VB","J","VB 7305","25JAN 21:30",
"Flight scheduled","NLU-CJS","VB","J","VB 7435","25JAN 21:50",
"Flight scheduled","NLU-TIJ","XN","J","XN 1204","25JAN 21:55",
"Flight scheduled","NLU-MID","VB","J","VB 7283","25JAN 22:50",
"Flight scheduled","NLU-TIJ","Y4","J","Y4 3297","25JAN 23:19",
"Flight scheduled","NLU-BOG","Y4","J","Y4 3960","26JAN 00:36",
"Flight scheduled","NLU-GDL","VB","J","VB 9520","26JAN 06:00",
"Flight scheduled","NLU-MTY","VB","J","VB 7382","26JAN 06:00",
"Flight scheduled","NLU-CUN","VB","J","VB 2281","26JAN 06:15",
"Flight scheduled","NLU-GDL","XN","J","XN 1430","26JAN 06:30",
"Flight scheduled","NLU-GDL","Y4","J","Y4 1291","26JAN 06:30",
"Flight scheduled","NLU-MID","XN","J","XN 1760","26JAN 06:50",
"Flight scheduled","NLU-CEN","VB","J","VB 9480","26JAN 06:50",
"Flight scheduled","NLU-CVM","ZV","J","ZV 362","26JAN 08:00",
"Flight scheduled","NLU-TIJ","VB","J","VB 5069","26JAN 08:00",
"Flight scheduled","NLU-NLD","VB","J","VB 9450","26JAN 08:20",
"Flight scheduled","NLU-LAP","VB","J","VB 9298","26JAN 08:30",
"Flight scheduled","NLU-TQO","XN","J","XN 1780","26JAN 08:50",
"Flight scheduled","NLU-CVM","XN","J","XN 1142","26JAN 11:00",
"Flight scheduled","NLU-MID","AM","J","AM 878","26JAN 12:23",
"Flight scheduled","NLU-SDQ","DM","J","DM 4159","26JAN 23:44",
